Year,Sport,Country,NOC,Prev_Sport_Medals,Athlete_Count,Is_Host,Population,GDP_per_capita,log_Pop,log_GDPpc,Gold,Silver,Bronze,Total_Medals
2008,Taekwondo,Afghanistan,AFG,0.0,2,0,27294031.0,2191.5044,17.122178628198355,7.692799731085829,0,0,1,1
2012,Taekwondo,Afghanistan,AFG,1.0,2,0,30696958.0,2985.319,17.239674152276525,8.001796804275132,0,0,1,1
2024,Wrestling,Albania,ALB,0.0,0,0,2947436.0,20591.486,14.896446537119433,9.932681530956001,0,0,2,2
1984,Boxing,Algeria,ALG,0.0,7,0,21893853.0,,16.901716516130755,,0,0,2,2
1992,Athletics,Algeria,ALG,0.0,9,0,27181094.0,,17.118032252851492,,1,0,0,1
1992,Boxing,Algeria,ALG,2.0,8,0,27181094.0,,17.118032252851492,,0,0,1,1
1996,Athletics,Algeria,ALG,1.0,8,0,29411415.0,,17.196893456259968,,1,0,0,1
1996,Boxing,Algeria,ALG,1.0,6,0,29411415.0,,17.196893456259968,,1,0,1,2
2000,Athletics,Algeria,ALG,1.0,21,0,31183660.0,,17.255404829710923,,1,1,2,4
2000,Boxing,Algeria,ALG,2.0,7,0,31183660.0,,17.255404829710923,,0,0,1,1
2008,Judo,Algeria,ALG,0.0,10,0,34860715.0,,17.366871137145278,,0,1,1,2
2012,Athletics,Algeria,ALG,4.0,6,0,37565847.0,,17.441605897735318,,1,0,0,1
2016,Athletics,Algeria,ALG,1.0,15,0,40606052.0,,17.5194277021293,,0,2,0,2
2024,Artistic Gymnastics,Algeria,ALG,0.0,0,0,45752995.0,,17.638767833880465,,1,0,0,1
2024,Athletics,Algeria,ALG,2.0,15,0,45752995.0,,17.638767833880465,,0,0,1,1
2024,Boxing,Algeria,ALG,1.0,7,0,45752995.0,,17.638767833880465,,1,0,0,1
1924,Athletics,Argentina,ARG,0.0,10,0,10050859.0,,16.123168760947575,,0,1,0,1
1924,Boxing,Argentina,ARG,0.0,10,0,10050859.0,,16.123168760947575,,0,2,2,4
1924,Polo,Argentina,ARG,0.0,5,0,10050859.0,,16.123168760947575,,1,0,0,1
1928,Boxing,Argentina,ARG,4.0,8,0,11292242.0,,16.23962658778391,,2,2,0,4
1928,Fencing,Argentina,ARG,0.0,9,0,11292242.0,,16.23962658778391,,0,0,1,1
1928,Football,Argentina,ARG,0.0,16,0,11292242.0,,16.23962658778391,,0,1,0,1
1928,Swimming,Argentina,ARG,0.0,4,0,11292242.0,,16.23962658778391,,1,0,0,1
1932,Athletics,Argentina,ARG,1.0,11,0,12411154.0,,16.33410622295479,,1,0,0,1
1932,Boxing,Argentina,ARG,4.0,8,0,12411154.0,,16.33410622295479,,2,1,0,3
1936,Boxing,Argentina,ARG,3.0,8,0,13279454.0,,16.401728662013806,,1,1,2,4
1936,Polo,Argentina,ARG,1.0,4,0,13279454.0,,16.401728662013806,,1,0,0,1
1936,Rowing,Argentina,ARG,0.0,3,0,13279454.0,,16.401728662013806,,0,0,1,1
1936,Swimming,Argentina,ARG,1.0,1,0,13279454.0,,16.401728662013806,,0,1,0,1
1948,Athletics,Argentina,ARG,1.0,24,0,16346870.0,,16.609547060845998,,1,1,0,2
1948,Boxing,Argentina,ARG,4.0,8,0,16346870.0,,16.609547060845998,,2,0,1,3
1948,Sailing,Argentina,ARG,0.0,13,0,16346870.0,,16.609547060845998,,0,1,0,1
1948,Shooting,Argentina,ARG,0.0,12,0,16346870.0,,16.609547060845998,,0,1,0,1
1952,Athletics,Argentina,ARG,2.0,16,0,17866096.0,,16.698415452536246,,0,1,0,1
1952,Boxing,Argentina,ARG,3.0,10,0,17866096.0,,16.698415452536246,,0,1,1,2
1952,Rowing,Argentina,ARG,1.0,9,0,17866096.0,,16.698415452536246,,1,0,0,1
1952,Weightlifting,Argentina,ARG,0.0,5,0,17866096.0,,16.698415452536246,,0,0,1,1
1956,Boxing,Argentina,ARG,2.0,10,0,19274528.0,,16.774295041317444,,0,0,1,1
1956,Weightlifting,Argentina,ARG,1.0,2,0,19274528.0,,16.774295041317444,,0,1,0,1
1960,Boxing,Argentina,ARG,1.0,10,0,20619075.0,,16.841727224685812,,0,0,1,1
1960,Sailing,Argentina,ARG,1.0,9,0,20619075.0,,16.841727224685812,,0,1,0,1
1964,Equestrian Eventing,Argentina,ARG,0.0,0,0,21953929.0,,16.9044567247393,,0,1,0,1
1968,Boxing,Argentina,ARG,1.0,7,0,23261278.0,,16.962300690645378,,0,0,1,1
1968,Rowing,Argentina,ARG,1.0,9,0,23261278.0,,16.962300690645378,,0,0,1,1
1972,Rowing,Argentina,ARG,1.0,18,0,24782949.0,,17.025666474698713,,0,1,0,1
1988,Tennis,Argentina,ARG,0.0,5,0,31795517.0,,17.274835894420725,,0,1,0,1
1988,Volleyball,Argentina,ARG,0.0,12,0,31795517.0,,17.274835894420725,,0,0,1,1
1992,Tennis,Argentina,ARG,1.0,6,0,33655151.0,19476.283,17.33167670783333,9.877004091082753,0,0,1,1
1996,Boxing,Argentina,ARG,1.0,5,0,35419682.0,21695.596,17.382778240533007,9.98491066086429,0,0,1,1
1996,Football,Argentina,ARG,1.0,18,0,35419682.0,21695.596,17.382778240533007,9.98491066086429,0,1,0,1
1996,Sailing,Argentina,ARG,1.0,10,0,35419682.0,21695.596,17.382778240533007,9.98491066086429,0,1,0,1
2000,Hockey,Argentina,ARG,0.0,32,0,37057452.0,22281.38,17.427980050070083,10.011551510598247,0,1,0,1
2000,Sailing,Argentina,ARG,1.0,11,0,37057452.0,22281.38,17.427980050070083,10.011551510598247,0,1,2,3
2004,Basketball,Argentina,ARG,0.0,12,0,38728696.0,21591.45,17.472091407754323,9.980098995532911,1,0,0,1
2004,Football,Argentina,ARG,1.0,16,0,38728696.0,21591.45,17.472091407754323,9.980098995532911,1,0,0,1
2004,Hockey,Argentina,ARG,1.0,32,0,38728696.0,21591.45,17.472091407754323,9.980098995532911,0,0,1,1
2004,Sailing,Argentina,ARG,3.0,11,0,38728696.0,21591.45,17.472091407754323,9.980098995532911,0,0,1,1
2004,Swimming,Argentina,ARG,1.0,10,0,38728696.0,21591.45,17.472091407754323,9.980098995532911,0,0,1,1
2004,Tennis,Argentina,ARG,1.0,9,0,38728696.0,21591.45,17.472091407754323,9.980098995532911,0,0,1,1
2008,Basketball,Argentina,ARG,1.0,12,0,40382389.0,27658.484,17.513904356814134,10.227723949947126,0,0,1,1
2008,Cycling Track,Argentina,ARG,0.0,0,0,40382389.0,27658.484,17.513904356814134,10.227723949947126,1,0,0,1
2008,Football,Argentina,ARG,1.0,33,0,40382389.0,27658.484,17.513904356814134,10.227723949947126,1,0,0,1
2008,Hockey,Argentina,ARG,1.0,16,0,40382389.0,27658.484,17.513904356814134,10.227723949947126,0,0,1,1
2008,Judo,Argentina,ARG,0.0,9,0,40382389.0,27658.484,17.513904356814134,10.227723949947126,0,0,1,1
2008,Sailing,Argentina,ARG,1.0,10,0,40382389.0,27658.484,17.513904356814134,10.227723949947126,0,0,1,1
2012,Hockey,Argentina,ARG,1.0,31,0,42096739.0,28825.967,17.555480860975056,10.269066582184601,0,1,0,1
2012,Sailing,Argentina,ARG,1.0,8,0,42096739.0,28825.967,17.555480860975056,10.269066582184601,0,0,1,1
2012,Taekwondo,Argentina,ARG,0.0,2,0,42096739.0,28825.967,17.555480860975056,10.269066582184601,1,0,0,1
2012,Tennis,Argentina,ARG,1.0,7,0,42096739.0,28825.967,17.555480860975056,10.269066582184601,0,0,1,1
2016,Hockey,Argentina,ARG,1.0,34,0,43847430.0,27802.105,17.596226688977296,10.232902984089275,1,0,0,1
2016,Judo,Argentina,ARG,1.0,2,0,43847430.0,27802.105,17.596226688977296,10.232902984089275,1,0,0,1
2016,Sailing,Argentina,ARG,1.0,13,0,43847430.0,27802.105,17.596226688977296,10.232902984089275,1,0,0,1
2016,Tennis,Argentina,ARG,1.0,6,0,43847430.0,27802.105,17.596226688977296,10.232902984089275,0,1,0,1
2020,Hockey,Argentina,ARG,1.0,34,0,45510399.0,23877.094,17.633451429231283,10.080716748575698,0,1,0,1
2020,Rugby Sevens,Argentina,ARG,0.0,0,0,45510399.0,23877.094,17.633451429231283,10.080716748575698,0,0,1,1
2020,Volleyball,Argentina,ARG,1.0,12,0,45510399.0,23877.094,17.633451429231283,10.080716748575698,0,0,1,1
2024,Cycling BMX Freestyle,Argentina,ARG,0.0,0,0,47095834.0,26771.965,17.66769512620185,10.195147888692691,1,0,0,1
2024,Hockey,Argentina,ARG,1.0,34,0,47095834.0,26771.965,17.66769512620185,10.195147888692691,0,0,1,1
2024,Sailing,Argentina,ARG,1.0,13,0,47095834.0,26771.965,17.66769512620185,10.195147888692691,0,1,0,1
1996,Wrestling,Armenia,ARM,0.0,8,0,3168215.0,3717.3357,14.968679211410361,8.221031454684201,1,1,0,2
2000,Weightlifting,Armenia,ARM,0.0,4,0,3069588.0,4589.0083,14.93705423437966,8.431637111331822,0,0,1,1
2008,Boxing,Armenia,ARM,0.0,4,0,2908220.0,11727.482,14.883052111996872,9.36977552150839,0,0,1,1
2008,Weightlifting,Armenia,ARM,1.0,6,0,2908220.0,11727.482,14.883052111996872,9.36977552150839,0,1,1,2
2008,Wrestling,Armenia,ARM,2.0,9,0,2908220.0,11727.482,14.883052111996872,9.36977552150839,0,0,2,2
2012,Wrestling,Armenia,ARM,2.0,7,0,2881922.0,11796.274,14.873968337627431,9.375623766816078,0,1,1,2
2016,Weightlifting,Armenia,ARM,2.0,7,0,2924816.0,13192.994,14.888742472588314,9.487517005030552,0,2,0,2
2016,Wrestling,Armenia,ARM,2.0,8,0,2924816.0,13192.994,14.888742472588314,9.487517005030552,1,1,0,2
2020,Artistic Gymnastics,Armenia,ARM,0.0,0,0,2938679.0,15052.936,14.893471058901511,9.619394764223676,0,0,1,1
2020,Boxing,Armenia,ARM,1.0,4,0,2938679.0,15052.936,14.893471058901511,9.619394764223676,0,0,1,1
2020,Weightlifting,Armenia,ARM,2.0,7,0,2938679.0,15052.936,14.893471058901511,9.619394764223676,0,1,0,1
2020,Wrestling,Armenia,ARM,2.0,8,0,2938679.0,15052.936,14.893471058901511,9.619394764223676,0,1,0,1
2024,Artistic Gymnastics,Armenia,ARM,1.0,0,0,2937237.0,20078.785,14.892980241967392,9.907468866577029,0,1,0,1
2024,Weightlifting,Armenia,ARM,1.0,7,0,2937237.0,20078.785,14.892980241967392,9.907468866577029,0,1,0,1
2024,Wrestling,Armenia,ARM,1.0,8,0,2937237.0,20078.785,14.892980241967392,9.907468866577029,0,1,1,2
1900,Athletics,Australia,AUS,2.0,1,0,3743707.0,,15.135587122085136,,0,0,6,6
1920,Athletics,Australia,AUS,6.0,4,0,5345426.0,,15.491751986995983,,0,1,0,1
1920,Swimming,Australia,AUS,0.0,6,0,5345426.0,,15.491751986995983,,0,1,1,2
1924,Athletics,Australia,AUS,1.0,9,0,5828491.0,,15.578268862775241,,1,0,0,1
1924,Diving,Australia,AUS,0.0,1,0,5828491.0,,15.578268862775241,,1,0,0,1
1924,Swimming,Australia,AUS,2.0,5,0,5828491.0,,15.578268862775241,,1,1,2,4
1928,Cycling Track,Australia,AUS,0.0,0,0,6305547.0,,15.656940438750963,,0,0,1,1
1928,Rowing,Australia,AUS,0.0,1,0,6305547.0,,15.656940438750963,,1,0,0,1
1928,Swimming,Australia,AUS,4.0,5,0,6305547.0,,15.656940438750963,,0,2,0,2
1932,Cycling Track,Australia,AUS,1.0,0,0,6588976.0,,15.700908659223602,,1,0,0,1
1932,Rowing,Australia,AUS,1.0,1,0,6588976.0,,15.700908659223602,,1,0,0,1
1932,Swimming,Australia,AUS,2.0,5,0,6588976.0,,15.700908659223602,,1,1,0,2
1932,Wrestling,Australia,AUS,0.0,1,0,6588976.0,,15.700908659223602,,0,0,1,1
1936,Athletics,Australia,AUS,1.0,5,0,6795622.0,,15.731789286427109,,0,0,1,1
1948,Athletics,Australia,AUS,1.0,18,0,7749066.0,,15.863083006985647,,1,3,2,6
1948,Rowing,Australia,AUS,1.0,8,0,7749066.0,,15.863083006985647,,1,0,0,1
1948,Swimming,Australia,AUS,2.0,10,0,7749066.0,,15.863083006985647,,0,2,2,4
1948,Wrestling,Australia,AUS,1.0,4,0,7749066.0,,15.863083006985647,,0,1,1,2
1952,Athletics,Australia,AUS,6.0,17,0,8620970.0,,15.969708281307504,,3,0,1,4
1952,Cycling Track,Australia,AUS,1.0,0,0,8620970.0,,15.969708281307504,,2,1,0,3
1952,Rowing,Australia,AUS,1.0,14,0,8620970.0,,15.969708281307504,,0,1,1,2
1952,Swimming,Australia,AUS,4.0,10,0,8620970.0,,15.969708281307504,,1,0,0,1
1952,Weightlifting,Australia,AUS,0.0,3,0,8620970.0,,15.969708281307504,,0,0,1,1
1956,Athletics,Australia,AUS,4.0,76,0,9419268.0,,16.058268042692188,,4,2,6,12
1956,Boxing,Australia,AUS,0.0,9,0,9419268.0,,16.058268042692188,,0,0,1,1
1956,Canoe Marathon,Australia,AUS,0.0,0,0,9419268.0,,16.058268042692188,,0,0,1,1
1956,Cycling Track,Australia,AUS,3.0,0,0,9419268.0,,16.058268042692188,,1,0,1,2
1956,Rowing,Australia,AUS,2.0,26,0,9419268.0,,16.058268042692188,,0,1,2,3
1956,Sailing,Australia,AUS,0.0,11,0,9419268.0,,16.058268042692188,,0,1,1,2
1956,Swimming,Australia,AUS,1.0,26,0,9419268.0,,16.058268042692188,,8,4,2,14
1960,Athletics,Australia,AUS,12.0,28,0,10289707.0,,16.146654730342483,,1,2,1,4
1960,Boxing,Australia,AUS,1.0,10,0,10289707.0,,16.146654730342483,,0,0,2,2
1960,Equestrian Eventing,Australia,AUS,0.0,0,0,10289707.0,,16.146654730342483,,2,1,0,3
1960,Swimming,Australia,AUS,14.0,26,0,10289707.0,,16.146654730342483,,5,5,3,13
1964,Athletics,Australia,AUS,4.0,35,0,11115211.0,,16.223825178522876,,1,1,4,6
1964,Hockey,Australia,AUS,0.0,14,0,11115211.0,,16.223825178522876,,0,0,1,1
1964,Judo,Australia,AUS,0.0,4,0,11115211.0,,16.223825178522876,,0,0,1,1
1964,Sailing,Australia,AUS,2.0,11,0,11115211.0,,16.223825178522876,,1,0,0,1
1964,Swimming,Australia,AUS,13.0,32,0,11115211.0,,16.223825178522876,,4,1,4,9
1968,Athletics,Australia,AUS,6.0,24,0,12265087.0,,16.32226741053688,,2,3,1,6
1968,Equestrian Eventing,Australia,AUS,3.0,0,0,12265087.0,,16.32226741053688,,0,0,1,1
1968,Hockey,Australia,AUS,1.0,14,0,12265087.0,,16.32226741053688,,0,1,0,1
1968,Rowing,Australia,AUS,3.0,11,0,12265087.0,,16.32226741053688,,0,1,0,1
1968,Swimming,Australia,AUS,9.0,24,0,12265087.0,,16.32226741053688,,3,2,3,8
1972,Athletics,Australia,AUS,6.0,22,0,13296872.0,,16.403039452766684,,0,2,0,2
1972,Cycling Road,Australia,AUS,0.0,0,0,13296872.0,,16.403039452766684,,0,1,0,1
1972,Cycling Track,Australia,AUS,2.0,0,0,13296872.0,,16.403039452766684,,0,2,0,2
1972,Sailing,Australia,AUS,1.0,13,0,13296872.0,,16.403039452766684,,2,0,0,2
1972,Swimming,Australia,AUS,8.0,24,0,13296872.0,,16.403039452766684,,6,2,2,10
1976,Equestrian Eventing,Australia,AUS,1.0,0,0,13994623.0,,16.454183813832653,,0,0,1,1
1976,Hockey,Australia,AUS,1.0,15,0,13994623.0,,16.454183813832653,,0,1,0,1
1976,Sailing,Australia,AUS,2.0,12,0,13994623.0,,16.454183813832653,,0,0,2,2
1976,Swimming,Australia,AUS,10.0,28,0,13994623.0,,16.454183813832653,,0,0,1,1
1980,Athletics,Australia,AUS,2.0,21,0,14649114.0,,16.499890482046304,,0,1,0,1
1980,Canoe Sprint,Australia,AUS,0.0,0,0,14649114.0,,16.499890482046304,,0,1,0,1
1980,Swimming,Australia,AUS,1.0,17,0,14649114.0,,16.499890482046304,,2,0,5,7
1984,Athletics,Australia,AUS,1.0,30,0,15487214.0,,16.55552540281317,,1,1,1,3
1984,Canoe Sprint,Australia,AUS,1.0,0,0,15487214.0,,16.55552540281317,,0,0,1,1
1984,Cycling Track,Australia,AUS,2.0,0,0,15487214.0,,16.55552540281317,,1,0,0,1
1984,Rowing,Australia,AUS,1.0,25,0,15487214.0,,16.55552540281317,,0,1,2,3
1984,Sailing,Australia,AUS,2.0,13,0,15487214.0,,16.55552540281317,,0,0,1,1
1984,Shooting,Australia,AUS,0.0,9,0,15487214.0,,16.55552540281317,,0,0,1,1
1984,Swimming,Australia,AUS,7.0,31,0,15487214.0,,16.55552540281317,,1,5,6,12
1984,Weightlifting,Australia,AUS,1.0,4,0,15487214.0,,16.55552540281317,,1,1,0,2
1988,Athletics,Australia,AUS,3.0,28,0,16527430.0,,16.620532043321074,,1,1,0,2
1988,Boxing,Australia,AUS,2.0,4,0,16527430.0,,16.620532043321074,,0,1,0,1
1988,Canoe Sprint,Australia,AUS,1.0,0,0,16527430.0,,16.620532043321074,,0,1,1,2
1988,Cycling Track,Australia,AUS,1.0,0,0,16527430.0,,16.620532043321074,,0,2,2,4
1988,Hockey,Australia,AUS,1.0,32,0,16527430.0,,16.620532043321074,,1,0,0,1
1988,Swimming,Australia,AUS,12.0,25,0,16527430.0,,16.620532043321074,,1,1,1,3
1988,Tennis,Australia,AUS,0.0,6,0,16527430.0,,16.620532043321074,,0,0,1,1
1992,Athletics,Australia,AUS,2.0,35,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,0,0,2,2
1992,Canoe Slalom,Australia,AUS,0.0,0,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,0,1,0,1
1992,Canoe Sprint,Australia,AUS,2.0,0,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,1,0,1,2
1992,Cycling Road,Australia,AUS,1.0,0,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,1,0,0,1
1992,Cycling Track,Australia,AUS,4.0,0,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,0,4,0,4
1992,Equestrian Eventing,Australia,AUS,1.0,0,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,2,0,0,2
1992,Hockey,Australia,AUS,1.0,32,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,0,1,0,1
1992,Rowing,Australia,AUS,3.0,28,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,2,0,0,2
1992,Sailing,Australia,AUS,1.0,13,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,0,0,2,2
1992,Swimming,Australia,AUS,3.0,33,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,1,3,5,9
1992,Tennis,Australia,AUS,1.0,7,0,17485948.0,35426.285,16.67690820209971,10.475237564948694,0,0,1,1
1996,Athletics,Australia,AUS,2.0,60,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,2,0,2
1996,Basketball,Australia,AUS,0.0,24,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,0,1,1
1996,Beach Volleyball,Australia,AUS,0.0,6,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,0,1,1
1996,Canoe Sprint,Australia,AUS,2.0,0,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,0,3,3
1996,Cycling Track,Australia,AUS,4.0,0,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,1,4,5
1996,Equestrian Eventing,Australia,AUS,2.0,0,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,1,0,0,1
1996,Hockey,Australia,AUS,1.0,32,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,1,0,1,2
1996,Rowing,Australia,AUS,2.0,45,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,2,1,3,6
1996,Sailing,Australia,AUS,2.0,16,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,1,1,2
1996,Shooting,Australia,AUS,1.0,16,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,2,0,1,3
1996,Softball,Australia,AUS,0.0,15,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,0,1,1
1996,Swimming,Australia,AUS,9.0,33,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,2,4,6,12
1996,Tennis,Australia,AUS,1.0,7,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,1,0,0,1
1996,Weightlifting,Australia,AUS,2.0,7,0,18271685.0,39663.16,16.72086320652664,10.588203288151467,0,0,1,1
2000,Archery,Australia,AUS,0.0,6,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,0,0,1
2000,Athletics,Australia,AUS,2.0,82,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,2,0,3
2000,Basketball,Australia,AUS,1.0,24,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,1,0,1
2000,Beach Volleyball,Australia,AUS,1.0,10,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,0,0,1
2000,Canoe Sprint,Australia,AUS,3.0,0,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,1,1,2
2000,Cycling Track,Australia,AUS,5.0,0,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,2,3,6
2000,Diving,Australia,AUS,1.0,6,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,0,2,2
2000,Equestrian Eventing,Australia,AUS,1.0,0,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,1,0,2
2000,Hockey,Australia,AUS,2.0,32,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,0,1,2
2000,Judo,Australia,AUS,1.0,14,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,0,1,1
2000,Rowing,Australia,AUS,6.0,45,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,3,2,5
2000,Sailing,Australia,AUS,2.0,18,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,2,1,1,4
2000,Shooting,Australia,AUS,3.0,23,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,1,1,3
2000,Softball,Australia,AUS,1.0,15,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,0,1,1
2000,Swimming,Australia,AUS,12.0,43,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,5,9,4,18
2000,Taekwondo,Australia,AUS,0.0,8,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,1,0,2
2000,Tennis,Australia,AUS,1.0,10,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,1,0,1
2000,Trampolining,Australia,AUS,0.0,2,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,1,0,1
2000,Triathlon,Australia,AUS,0.0,6,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,0,1,0,1
2000,Water Polo,Australia,AUS,0.0,26,0,19065837.0,45099.074,16.763408705198977,10.71663916628765,1,0,0,1
2004,Archery,Australia,AUS,1.0,6,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,0,1,1
2004,Athletics,Australia,AUS,3.0,42,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,1,2,3
2004,Baseball,Australia,AUS,0.0,24,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,1,0,1
2004,Basketball,Australia,AUS,1.0,24,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,1,0,1
2004,Canoe Sprint,Australia,AUS,2.0,0,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,2,0,2
2004,Cycling Road,Australia,AUS,1.0,0,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,1,0,1,2
2004,Cycling Track,Australia,AUS,6.0,0,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,5,2,2,9
2004,Diving,Australia,AUS,2.0,7,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,1,1,4,6
2004,Hockey,Australia,AUS,2.0,32,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,1,0,0,1
2004,Rowing,Australia,AUS,5.0,45,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,1,1,2,4
2004,Shooting,Australia,AUS,3.0,21,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,1,0,1,2
2004,Softball,Australia,AUS,1.0,15,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,1,0,1
2004,Swimming,Australia,AUS,18.0,41,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,7,5,3,15
2004,Tennis,Australia,AUS,1.0,7,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,0,1,1
2004,Triathlon,Australia,AUS,1.0,6,0,19948429.0,49061.277,16.80866100146154,10.800845729291504,0,1,0,1
2008,Athletics,Australia,AUS,3.0,40,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,1,2,1,4
2008,Basketball,Australia,AUS,1.0,24,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,1,0,1
2008,Canoe Slalom,Australia,AUS,1.0,0,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,1,1,2
2008,Canoe Sprint,Australia,AUS,2.0,0,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,1,0,2,3
2008,Cycling Track,Australia,AUS,9.0,0,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,1,0,1
2008,Diving,Australia,AUS,6.0,9,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,1,1,0,2
2008,Equestrian Eventing,Australia,AUS,2.0,0,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,1,0,1
2008,Hockey,Australia,AUS,1.0,33,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,0,1,1
2008,Rowing,Australia,AUS,4.0,48,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,2,1,0,3
2008,Sailing,Australia,AUS,4.0,17,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,2,1,0,3
2008,Shooting,Australia,AUS,2.0,17,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,0,1,1
2008,Softball,Australia,AUS,1.0,15,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,0,1,1
2008,Swimming,Australia,AUS,15.0,43,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,6,6,8,20
2008,Triathlon,Australia,AUS,1.0,5,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,1,0,1,2
2008,Water Polo,Australia,AUS,1.0,26,0,21342493.0,52473.383,16.876210666737357,10.868080386639718,0,0,1,1
2012,Athletics,Australia,AUS,4.0,50,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,2,1,0,3
2012,Basketball,Australia,AUS,1.0,24,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,0,0,1,1
2012,Canoe Slalom,Australia,AUS,2.0,0,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,0,1,0,1
2012,Canoe Sprint,Australia,AUS,3.0,0,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,1,0,0,1
2012,Cycling BMX Racing,Australia,AUS,0.0,0,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,0,1,0,1
2012,Cycling Track,Australia,AUS,1.0,0,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,1,1,3,5
2012,Diving,Australia,AUS,2.0,10,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,0,1,0,1
2012,Hockey,Australia,AUS,1.0,32,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,0,0,1,1
2012,Rowing,Australia,AUS,3.0,46,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,0,3,2,5
2012,Sailing,Australia,AUS,3.0,13,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,3,1,0,4
2012,Swimming,Australia,AUS,20.0,47,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,1,6,3,10
2012,Triathlon,Australia,AUS,2.0,6,0,22821849.0,54403.883,16.943228968349782,10.904209189845165,0,0,1,1
